,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,1,TSB Intermediary ,Fixed,1.39,24,4.84,69138.45325545194,9138.453255451892,29861.54674454806,18004.44249626345,1995.0,11133.453255451892
0,409,TSB Intermediary ,Fixed,1.39,24,4.84,69138.45325545194,9138.453255451892,29861.54674454806,18004.44249626345,1995.0,11133.453255451892
0,18,Royal Bank of Scotland Intermediaries,Fixed,1.65,24,3.99,70154.146533628,10154.146533628023,28845.853466372006,17314.75413525482,995.0,11149.146533628023
0,2,Virgin Money Intermediary,Fixed,1.39,24,4.99,69159.70072411052,9159.700724110477,29840.299275889483,17988.03567530033,1995.0,11154.700724110477
0,142,Metro Bank,Fixed,2.39,60,4.5,70170.92727606802,10170.927276068072,28829.072723931982,15868.120522114366,999.0,11169.927276068072
0,546,Metro Bank,Fixed,2.39,60,4.5,70170.92727606802,10170.927276068072,28829.072723931982,15868.120522114366,999.0,11169.927276068072
0,88,Barclays,Fixed,2.18,60,4.99,69224.73306848212,9224.733068482088,29775.26693151788,16506.080032331487,1950.0,11174.733068482088
0,87,Virgin Money,Fixed,2.17,60,4.99,69179.93777254126,9179.937772541236,29820.062227458737,16536.199561260775,1995.0,11174.937772541236
0,491,Virgin Money,Fixed,2.17,60,4.99,69179.93777254126,9179.937772541236,29820.062227458737,16536.199561260775,1995.0,11174.937772541236
0,147,Royal Bank of Scotland,Fixed,2.4,60,3.99,70216.24671873965,10216.24671873959,28783.753281260346,15837.48283462809,995.0,11211.24671873959
0,148,NatWest,Fixed,2.4,60,4.49,70216.24671873965,10216.24671873959,28783.753281260346,15837.48283462809,995.0,11211.24671873959
0,423,Platform,Fixed,1.64,24,4.74,70217.77772423215,10217.777724232152,28782.222275767854,17264.27236281819,999.0,11216.777724232152
0,492,Skipton Building Society,Fixed,2.18,60,4.94,69224.73306848212,9224.733068482088,29775.26693151788,16506.080032331487,1995.0,11219.733068482088
0,4,Post Office,Fixed,1.49,24,4.99,69595.6074562088,9595.607456208756,29404.392543791197,17689.704755746538,1690.0,11285.607456208756
0,412,Post Office,Fixed,1.49,24,4.99,69595.6074562088,9595.607456208756,29404.392543791197,17689.704755746538,1690.0,11285.607456208756
0,202,Accord Mortgages,Fixed,2.64,60,4.99,71311.12960353395,11311.129603533956,27688.870396466053,15095.171246995427,0.0,11311.129603533956
0,610,Accord Mortgages,Fixed,2.64,60,4.99,71311.12960353395,11311.129603533956,27688.870396466053,15095.171246995427,0.0,11311.129603533956
