,CapitalPaid,CapitalPaymentDue,DealNum,FeePaid,Fees,InterestDue,InterestRate,LTV,Loan,Month,OverpaymentPaid,PropertyPrice,RemainingTerm,num
6,1154.32241722,-1814.31703035,1,0,0,1002.99461313,0.0274,0.876226782722,438113.391361,6,343,500000,354,1.0
7,1156.95812007,-1814.31703035,1,0,0,1000.35891027,0.0274,0.873912866482,436956.433241,7,343,500000,353,1.0
8,1159.59984111,-1814.31703035,1,0,0,997.717189233,0.0274,0.871593666799,435796.8334,8,343,500000,352,1.0
9,1162.24759408,-1814.31703035,1,0,0,995.069436263,0.0274,0.869269171611,434634.585806,9,343,500000,351,1.0
10,1164.90139276,-1814.31703035,1,0,0,992.415637589,0.0274,0.866939368826,433469.684413,10,343,500000,350,1.0
11,1167.56125094,-1814.31703035,1,0,0,989.755779409,0.0274,0.864604246324,432302.123162,11,343,500000,349,1.0
12,1170.22718246,-1814.31703035,1,0,0,987.089847886,0.0274,0.862263791959,431131.895979,12,343,500000,348,1.0
13,1172.89920119,-1814.31703035,1,0,0,984.417829153,0.0274,0.859917993557,429958.996778,13,343,500000,347,1.0
14,1175.57732103,-1814.31703035,1,0,0,981.73970931,0.0274,0.857566838914,428783.419457,14,343,500000,346,1.0
15,1178.26155592,-1814.31703035,1,0,0,979.055474427,0.0274,0.855210315803,427605.157901,15,343,500000,345,1.0
16,1180.9519198,-1814.31703035,1,0,0,976.365110541,0.0274,0.852848411963,426424.205981,16,343,500000,344,1.0
17,1183.64842669,-1814.31703035,1,0,0,973.668603658,0.0274,0.85048111511,425240.557555,17,343,500000,343,1.0
18,1186.3510906,-1814.31703035,1,0,0,970.96593975,0.0274,0.848108412928,424054.206464,18,343,500000,342,1.0
19,1189.05992559,-1814.31703035,1,0,0,968.25710476,0.0274,0.845730293077,422865.146539,19,343,500000,341,1.0
20,1191.77494575,-1814.31703035,1,0,0,965.542084597,0.0274,0.843346743186,421673.371593,20,343,500000,340,1.0
21,1194.49616521,-1814.31703035,1,0,0,962.820865137,0.0274,0.840957750855,420478.875428,21,343,500000,339,1.0
22,1197.22359812,-1814.31703035,1,0,0,960.093432227,0.0274,0.838563303659,419281.65183,22,343,500000,338,1.0
23,1199.95725867,-1814.31703035,1,0,0,957.359771677,0.0274,0.836163389142,418081.694571,23,343,500000,337,1.0
24,1202.69716108,-1814.31703035,1,0,0,954.61986927,0.0274,0.83375799482,416878.99741,24,343,500000,336,1.0
25,1205.44331959,-1814.31703035,1,0,0,951.873710752,0.0274,0.83134710818,415673.55409,25,343,500000,335,1.0
26,1208.19574851,-1814.31703035,1,0,0,949.121281839,0.0274,0.828930716683,414465.358342,26,343,500000,334,1.0
27,1210.95446213,-1814.31703035,1,0,0,946.362568214,0.0274,0.826508807759,413254.40388,27,343,500000,333,1.0
28,1213.71947482,-1814.31703035,1,0,0,943.597555525,0.0274,0.82408136881,412040.684405,28,343,500000,332,1.0
29,1216.49080095,-1814.31703035,1,0,0,940.826229391,0.0274,0.821648387208,410824.193604,29,343,500000,331,1.0
30,1219.26845495,-1814.31703035,1,0,0,938.048575395,0.0274,0.819209850298,409604.925149,30,343,500000,330,1.0
31,1222.05245126,-1814.31703035,1,0,0,935.26457909,0.0274,0.816765745395,408382.872698,31,343,500000,329,1.0
32,1224.84280435,-1814.31703035,1,0,0,932.474225993,0.0274,0.814316059786,407158.029893,32,343,500000,328,1.0
33,1227.63952876,-1814.31703035,1,0,0,929.67750159,0.0274,0.811860780729,405930.390364,33,343,500000,327,1.0
34,1230.44263901,-1814.31703035,1,0,0,926.874391332,0.0274,0.809399895451,404699.947725,34,343,500000,326,1.0
35,1233.25214971,-1814.31703035,1,0,0,924.06488064,0.0274,0.806933391152,403466.695576,35,343,500000,325,1.0
